,C11,C12,C44,C11,C12,C44,C11,C12,C44
Ag,123.99,93.67,46.12,114,87.2,46.2,126.7,97.1,48.8
AgAl(98.4-1.6),128.07,98.3,46.43,129.9,105.5,48.4,127.4,98.2,48.8
AgAu(96-4),124.27,92.66,47.28,127.6,96.6,46.2,127.6,96.7,50.3
AgBr,56.3,32.8,7.2,47.3,21.4,6.9,50.8,27.5,7.3
AgCd(98.08-1.92),121.6,91.3,45.9,123.1,98.4,49.6,124.8,95.2,48.6
AgCl,60.1,36.2,6.25,50,37.1,14.5,56.4,31.6,6.2
AgIn(91.64-8.36),116.6,89,45,107.3,78.6,40.8,100.2,72.5,45.7
AgMg(96.93-3.07),119.8,89.8,46,115.3,90.6,46.9,122.9,93.5,48.4
AgSn(96.83-3.17),121,92.2,45.8,124.6,97.7,49.1,111.6,83,47.2
AgZn(97.6-2.4),120.9,91.6,45.8,138.6,110.5,49.7,119.5,90.7,48.1
Al,113.04,66.63,27.83,118,69.6,27.6,110.7,63.7,27.6
AlSb,89.39,44.27,41.55,96.9,45,35.1,91,46,41.6
Au,192.44,162.98,42,178,142.9,35.3,178,149,43.9
Au3Ag,166.21,132.41,48.54,136.3,107,53.5,153.2,119.7,50.2
Au3Ni,195.73,158.19,50.98,230.8,190.1,41.5,197.3,160.2,52.3
AuAg,148.94,113.5,50.76,149.9,120.9,57.9,151,116.5,54.4
AuAg3,138.26,104.48,48.78,132.6,102.5,49.1,139.6,106.8,52.4
AuNi(57.58-42.42),199.5,156,61.86,183.6,147,70.1,194.7,151.7,64.2
AuNi(90.28-9.72),192.31,160.95,44.97,204.5,165.7,37.1,171.9,140.9,46.8
AuNi(97.05-2.95),192.59,162.61,43,195.4,164.5,42.1,169.8,140.2,44.9
Ba3N2,60.2,18.6,12.1,69.3,32.3,12.9,61.6,19,11.9
BaO,125.7,48.1,35.5,127.1,50.8,36.4,127.6,49.5,35.2
CaF2,162.8,43.3,33.4,168,33,32.2,165,42.6,32.9
