,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
Ag,114,87.2,46.2,38.5,123.99,93.67,46.12,43.4,-8.1,-7,0.3,-11.3,216.49,187.76,50.67,74.60,100.45,9.86
AgAl(98.4-1.6),129.9,105.5,48.4,35.3,128.07,98.3,46.43,42.7,1.5,7.4,4.2,-17.3,199.18,170.65,49.96,55.53,73.60,7.61
AgAu(96-4),127.6,96.6,46.2,44.3,124.27,92.66,47.28,45.1,2.7,4.3,-2.2,-1.8,244.47,214.76,52.62,96.72,131.78,11.30
AgBr,47.3,21.4,6.9,33.9,56.3,32.8,7.2,32.2,-16,-34.7,-4,5.5,49.55,24.33,6.95,-11.99,-25.81,-3.41
AgCd(98.08-1.92),123.1,98.4,49.6,35.7,121.6,91.3,45.9,43.3,1.3,7.8,8,-17.4,212.41,183.84,51.07,74.68,101.36,11.26
AgCl,50,37.1,14.5,18.3,60.1,36.2,6.25,32.9,-16.8,2.5,132,-44.2,61.86,36.13,6.03,2.93,-0.20,-3.50
AgIn(91.64-8.36),107.3,78.6,40.8,40.8,116.6,89,45,39.5,-8,-11.6,-9.2,3.2,123.17,95.30,43.57,5.63,7.07,-3.19
AgMg(96.93-3.07),115.3,90.6,46.9,35.6,119.8,89.8,46,42.9,-3.7,0.9,2,-17,175.98,147.08,48.81,46.90,63.79,6.12
AgSn(96.83-3.17),124.6,97.7,49.1,38.8,121,92.2,45.8,41.3,3,6,7.1,-6.1,144.03,115.65,46.72,19.03,25.44,2.01
AgZn(97.6-2.4),138.6,110.5,49.7,40.5,120.9,91.6,45.8,41.9,14.6,20.7,8.5,-3.4,161.02,132.51,47.77,33.18,44.66,4.31
Al,118,69.6,27.6,66.4,113.04,66.63,27.83,63.6,4.4,4.4,-0.9,4.4,136.59,91.32,28.15,20.83,37.05,1.15
AlSb,96.9,45,35.1,68.3,89.39,44.27,41.55,60.1,8.4,1.7,-15.6,13.8,97.09,52.48,41.43,8.62,18.54,-0.30
Au,178,142.9,35.3,50.8,192.44,162.98,42,43,-7.5,-12.3,-16.1,18.2,876.75,851.11,60.03,355.60,422.22,42.93
Au3Ag,136.3,107,53.5,42.2,166.21,132.41,48.54,48.8,-18,-19.2,10.2,-13.4,638.53,608.52,63.51,284.17,359.57,30.84
Au3Ni,230.8,190.1,41.5,59.1,195.73,158.19,50.98,54.3,17.9,20.2,-18.6,8.8,330.68,295.53,58.71,68.95,86.82,15.15
AuAg,149.9,120.9,57.9,42,148.94,113.5,50.76,50.8,0.7,6.6,14.1,-17.4,477.98,445.81,61.40,220.92,292.79,20.97
AuAg3,132.6,102.5,49.1,43.2,138.26,104.48,48.78,48.3,-4.1,-1.9,0.6,-10.7,368.75,337.65,56.85,166.71,223.17,16.55
AuNi(57.58-42.42),183.6,147,70.1,52.8,199.5,156,61.86,62.6,-8,-5.7,13.4,-15.7,729.82,690.89,78.39,265.83,342.88,26.72
AuNi(90.28-9.72),204.5,165.7,37.1,56.3,192.31,160.95,44.97,45.6,6.4,2.9,-17.4,23.3,959.76,932.49,64.20,399.07,479.37,42.76
AuNi(97.05-2.95),195.4,164.5,42.1,45.1,192.59,162.61,43,43.7,1.5,1.1,-2.1,3.2,980.00,954.11,62.98,408.85,486.74,46.48
Ba3N2,69.3,32.3,12.9,48.8,60.2,18.6,12.1,51.4,15.1,73.7,6.7,-5.2,63.17,19.19,11.68,4.94,3.19,-3.45
BaO,127.1,50.8,36.4,98.1,125.7,48.1,35.5,99.1,1.1,5.5,2.5,-1,126.23,47.12,34.93,0.42,-2.03,-1.62
