,Ag,AgAl(98.4-1.6),AgAu(96-4),AgBr,AgCd(98.08-1.92),AgCl,AgIn(91.64-8.36),AgMg(96.93-3.07),AgSn(96.83-3.17),AgZn(97.6-2.4),Al,AlSb,Au,Au3Ag,Au3Ni,AuAg,AuAg3,AuNi(57.58-42.42),AuNi(90.28-9.72),AuNi(97.05-2.95),Ba3N2,BaO,CaF2,CdTe,Co-fcc,CoO,Cr,Cu,Cu3Au,CuAl(95.19-4.81),CuAlNi(Cu–14.3Al–4.2%Ni (wt.%)),CuGa(95.85-4.15),CuGa(98.42-1.58),CuGe(98.97-1.03),CuNi(96.98-3.02),CuSi(95.83-4.17),CuZn(77.3-22.7),CuZn(95.41-4.59),F3KMg,Fe,FeAl(59.89-40.11),FeAl(66-34),FeAl(71.92-28.08),FeAl(74.95-25.05),FeAl(80.17-19.83),FeAl(85.5-14.5),FeAl(90.35-9.65),FeAl(96.03-3.97),FeCr2O4(Chromite),GaAs,GaP,Garnet(21.8% FeO),Garnet(22.7% FeO),Garnet(23.6% FeO),Garnet(26.2% FeO),Garnet(28.7% FeO),Garnet(33.5% FeO),GaSb,HfCo2,HgTe,InAs,InP,InSb,KF,LiF,Magnetite,Mg2Sn,MgAg,MgAl2O4(Spinel),MgCu2,MnO,Mo,MoRe(73.1-26.9),MoRe(83.4-16.6),MoRe(93-7),NaBrO3,NaCl,NaClO3,NaF,Nb,Nb3Sn,Ni,NiAl,NiAl(90.4-9.6),NiCu(31.1-68.9),NiCu(53.8-46.2),NiCu(77.2-22.8),NiCu(80-20),NiCu(92.7-7.3),PbF2,PbS,Pd,Permalloy(Ni73.8-Fe26.2),Pt,RbCl,Si,Sr3N2,SrF2,SrO,SrTiO3,Ta,Th,ThO2,TlCl,UC,UO2,V,ZnS,ZnSe,ZnTe,ZrCo2
C11_Predicted(Gpa),114.0,129.9,127.6,47.3,123.1,50.0,107.3,115.3,124.6,138.6,118.0,96.9,178.0,136.3,230.8,149.9,132.6,183.6,204.5,195.4,69.3,127.1,168.0,66.0,237.5,249.3,348.8,185.0,202.2,169.7,145.0,165.1,169.6,169.5,176.2,168.6,151.7,154.2,122.9,223.3,173.9,171.7,174.5,174.8,174.4,200.6,202.2,222.4,327.6,125.3,149.4,198.5,196.6,199.5,226.2,272.9,325.7,90.3,247.1,63.3,78.0,102.1,68.2,74.4,124.2,271.0,83.0,71.5,276.2,122.3,225.1,452.0,444.0,446.8,455.5,62.5,59.3,59.7,101.4,233.7,250.0,248.5,202.0,248.5,191.3,208.1,224.3,223.2,252.3,90.1,102.1,223.1,222.3,357.0,361.8,174.8,57.4,128.3,148.4,329.7,255.1,73.4,350.5,47.7,324.6,371.8,235.2,101.5,75.5,76.6,223.5
C12_Predicted(Gpa),87.2,105.5,96.6,21.4,98.4,37.1,78.6,90.6,97.7,110.5,69.6,45.0,142.9,107.0,190.1,120.9,102.5,147.0,165.7,164.5,32.3,50.8,33.0,45.3,175.0,136.7,69.7,144.0,158.9,123.9,125.7,121.8,123.8,126.0,131.2,124.6,113.5,110.7,25.0,122.5,109.3,115.3,132.2,137.8,128.1,135.8,127.1,138.5,138.8,50.8,60.2,80.8,124.3,97.9,130.4,161.2,125.7,36.4,108.5,48.0,43.4,58.1,35.2,18.5,50.7,113.6,16.8,43.6,150.4,76.2,125.8,175.6,177.4,163.1,171.3,21.0,20.6,18.6,26.6,127.4,101.5,163.7,135.4,147.1,134.8,139.3,142.2,144.8,150.7,45.6,39.8,181.0,138.4,266.3,71.2,71.3,28.4,47.4,31.8,125.1,159.2,45.6,80.2,22.6,66.3,86.8,141.4,59.5,45.5,46.9,94.1
C44_Predicted(Gpa),46.2,48.4,46.2,6.9,49.6,14.5,40.8,46.9,49.1,49.7,27.6,35.1,35.3,53.5,41.5,57.9,49.1,70.1,37.1,42.1,12.9,36.4,32.2,15.8,90.1,83.1,97.3,72.7,77.7,72.7,88.9,65.6,72.6,72.2,74.3,69.6,65.5,68.2,43.5,115.0,127.7,134.2,136.8,139.5,133.0,125.5,137.2,120.8,123.0,53.5,62.0,50.2,69.1,63.7,54.2,62.5,83.2,37.0,87.4,21.3,40.1,41.2,27.6,12.7,53.6,96.1,34.9,47.3,167.7,44.7,79.4,106.6,128.1,118.7,103.6,14.3,10.8,10.3,26.5,33.9,37.1,94.5,115.0,141.9,81.1,90.5,111.0,103.0,113.8,24.1,25.5,83.8,124.7,79.2,47.9,76.9,13.1,31.6,60.5,125.2,85.5,44.2,63.4,7.5,58.6,64.2,47.2,42.9,44.9,30.4,79.1
E1_Predicted(Gpa),38.5,35.3,44.3,33.9,35.7,18.3,40.8,35.6,38.8,40.5,66.4,68.3,50.8,42.2,59.1,42.0,43.2,52.8,56.3,45.1,48.8,98.1,157.1,29.1,89.0,152.5,325.5,59.1,62.4,65.2,28.2,61.8,65.2,62.1,64.2,62.6,54.6,61.7,114.5,136.5,89.6,79.0,60.6,53.2,65.8,91.0,104.0,116.1,245.0,96.1,114.8,151.8,100.3,135.1,130.8,153.2,255.8,69.4,180.9,21.9,47.0,59.9,44.3,67.0,94.8,203.9,77.4,38.4,170.2,63.8,134.9,353.8,342.8,359.5,361.8,52.0,48.7,50.9,90.4,143.7,191.4,118.5,93.2,139.1,79.8,96.4,114.0,109.2,139.6,59.5,79.8,61.0,116.2,129.5,338.4,133.5,38.6,102.7,137.2,260.9,132.8,38.4,320.6,33.2,302.1,339.0,129.0,57.5,41.2,41.0,167.8
C11_Reported(Gpa),123.99,128.07,124.27,56.3,121.6,60.1,116.6,119.8,121,120.9,113.04,89.39,192.44,166.21,195.73,148.94,138.26,199.5,192.31,192.59,60.2,125.7,162.8,53.51,225,255.6,350,168.39,190.69,165.8,142.38,165.2,165,166.6,169.33,167.8,144.7,163.4,132,233.1,181.05,171.67,166.36,170.99,179.42,193.71,204.89,220.83,322.5,119.04,141.2,197,192,210,226,273,327,88.39,255.54,54.8,83.29,102.2,64.72,64.85,119,275,82.4,84.6,279,122.8,223,469.6,460.7,465,466.5,57.32,49.6,49.2,96.3,240.19,253.8,244,211.55,252,189.1,208.6,228.1,229.8,241.3,88.8,102,227.1,230.4,346.7,362.42,165.78,47.3,123.5,160.1,318.7,266.7,75.3,367,40.1,320,396,227.95,104.62,80.96,71.34,233.11
C12_Reported(Gpa),93.67,98.3,92.66,32.8,91.3,36.2,89,89.8,92.2,91.6,66.63,44.27,162.98,132.41,158.19,113.5,104.48,156,160.95,162.61,18.6,48.1,43.3,36.81,160,143.6,67.8,121.42,138.3,121.6,124.1,121,119.2,121,121.89,124.2,107.1,119.2,39.6,135.44,113.69,113.55,122.58,130.61,124.82,124.93,126.97,132.49,143.7,53.84,62.53,90,99,103,126,157,124,40.33,123.3,38.1,45.26,57.6,32.65,14.27,45.8,104,20.8,56.7,153,70.6,120,167.6,195.9,185.8,172.9,17.64,13.1,14.2,24.59,125.58,112.4,158,143.23,153,131.9,142.8,147.3,149.4,151.1,47.2,38,176.04,144.4,250.7,61.24,63.94,21.8,43.05,43.5,103.4,160.8,48.9,106,15.3,85,121,118.7,65.34,48.81,40.78,112.71
C44_Reported(Gpa),46.12,46.43,47.28,7.2,45.9,6.25,45,46,45.8,45.8,27.83,41.55,42,48.54,50.98,50.76,48.78,61.86,44.97,43,12.1,35.5,33.4,19.94,92,80.3,100.8,75.39,66.31,74.9,95.24,74.1,74.3,75,76.31,74.8,71.3,74.2,48.5,117.83,127.09,129.54,130.97,131.7,125.54,124.34,122.62,120.22,116.7,59.52,70.47,57,59,67,62,68,89,43.16,90.3,20.4,39.59,46,30.71,12.81,54.2,95.5,36.6,48.5,153,41.2,79,106.8,132.3,123.7,114.8,15.23,12.68,11.6,27.94,28.22,39.57,102,112.11,132,89.6,100.9,111.3,113.7,120.1,24.54,25,71.73,119.2,76.5,46.78,79.62,14.6,31.28,59,123,82.49,47.8,79.7,7.6,64.7,64.1,42.55,46.13,44.05,31.15,83.66
E1_Reported(Gpa),43.4,42.7,45.1,32.2,43.3,32.9,39.5,42.9,41.3,41.9,63.6,60.1,43.0,48.8,54.3,50.8,48.3,62.6,45.6,43.7,51.4,99.1,144.6,23.5,92.0,152.3,328.0,66.6,74.4,62.9,26.8,62.9,65.0,64.8,67.3,62.1,53.6,62.8,113.7,133.6,93.3,81.3,62.4,57.9,77.0,95.7,107.7,121.5,233.9,85.5,102.8,140.6,124.6,142.2,135.8,158.4,258.8,63.1,175.3,23.5,51.4,60.7,42.8,59.7,93.5,217.9,74.0,39.1,170.6,71.3,139.0,381.4,343.8,358.9,373.0,49.0,44.1,42.8,86.3,154.0,184.8,119.8,95.9,136.4,80.7,92.5,112.5,112.1,124.9,56.0,81.4,73.4,119.1,136.3,344.7,130.2,33.5,101.2,141.5,268.0,145.7,36.8,319.5,31.6,284.3,339.4,146.7,54.4,44.2,41.7,159.6
C11_Error(%),-8.1,1.5,2.7,-16.0,1.3,-16.8,-8.0,-3.7,3.0,14.6,4.4,8.4,-7.5,-18.0,17.9,0.7,-4.1,-8.0,6.4,1.5,15.1,1.1,3.2,23.3,5.6,-2.5,-0.3,9.9,6.0,2.4,1.9,0.0,2.8,1.8,4.1,0.5,4.8,-5.6,-6.9,-4.2,-3.9,0.0,4.9,2.2,-2.8,3.6,-1.3,0.7,1.6,5.3,5.8,0.8,2.4,-5.0,0.1,0.0,-0.4,2.1,-3.3,15.4,-6.3,-0.1,5.4,14.7,4.4,-1.4,0.8,-15.5,-1.0,-0.4,0.9,-3.7,-3.6,-3.9,-2.4,9.1,19.6,21.4,5.3,-2.7,-1.5,1.9,-4.5,-1.4,1.2,-0.3,-1.7,-2.9,4.6,1.5,0.1,-1.7,-3.5,3.0,-0.2,5.5,21.4,3.9,-7.3,3.5,-4.3,-2.5,-4.5,19.0,1.4,-6.1,3.2,-3.0,-6.8,7.4,-4.1
C12_Error(%),-7.0,7.4,4.3,-34.7,7.8,2.5,-11.6,0.9,6.0,20.7,4.4,1.7,-12.3,-19.2,20.2,6.6,-1.9,-5.7,2.9,1.1,73.7,5.5,-23.8,23.1,9.4,-4.8,2.9,18.6,14.9,1.9,1.3,0.6,3.8,4.1,7.7,0.3,5.9,-7.2,-37.0,-9.5,-3.9,1.6,7.9,5.5,2.7,8.7,0.1,4.5,-3.4,-5.7,-3.7,-10.3,25.6,-5.0,3.5,2.7,1.3,-9.8,-12.0,25.9,-4.1,0.9,7.8,29.7,10.8,9.3,-19.1,-23.1,-1.7,7.9,4.8,4.8,-9.5,-12.2,-0.9,18.8,57.1,31.2,8.0,1.5,-9.7,3.6,-5.4,-3.9,2.2,-2.5,-3.5,-3.0,-0.3,-3.5,4.8,2.8,-4.2,6.2,16.2,11.5,30.3,10.1,-27.0,21.0,-1.0,-6.7,-24.3,47.5,-22.0,-28.3,19.2,-8.9,-6.8,14.9,-16.5
